version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381492071743 eni-0ef83208bb21095f9 34.120.127.130 172.31.17.14 443 37104 6 12 3484 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.177.247 51514 443 6 18 5121 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 49506 6 25 7514 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 98.87.175.149 172.31.17.14 443 34242 6 22 6042 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 147.185.132.89 172.31.17.14 51286 4565 6 1 44 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 35.203.210.226 172.31.17.14 51939 8934 6 1 44 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 91.189.91.157 172.31.17.14 123 57517 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 142.202.190.19 47166 123 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.58 172.31.17.14 123 41330 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 162.216.150.206 172.31.17.14 56727 20077 6 1 44 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.56 34823 123 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.217.79.129 172.31.17.14 443 52174 6 4 232 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 34.120.127.130 172.31.17.14 443 37094 6 67 84821 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.177.247 172.31.17.14 443 51558 6 27 7624 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 162.216.150.119 172.31.17.14 50248 9031 6 1 44 1764302590 1764302658 REJECT OK
